UserID,Restaurant,Rating,Time,Location
1,applebees,1,1,1
1,applebees,2,1,2
1,applebees,1,1,3
1,applebees,1,2,1
1,applebees,1,2,2
1,applebees,1,2,3
1,burger king,4,1,1
1,burger king,4,1,2
1,burger king,4,1,3
1,burger king,4,2,1
1,carls jr,5,1,1
1,carls jr,5,1,2
1,carls jr,5,1,3
1,costco,5,1,1
1,costco,5,2,1
1,el mazateno,1,1,1
1,el mazateno,5,1,2
1,el mazateno,4,1,3
1,el mazateno,1,2,1
1,el mazateno,5,2,2
1,el mazateno,3,2,3
1,kentucky fried chicken,5,1,1
1,la lena,5,2,3
1,la espadana,5,2,3
1,mc donals,1,1,1
1,mc donals,1,1,2
1,mc donals,1,1,3
1,mc donals,1,2,1
1,mc donals,1,2,2
1,mc donals,1,2,3
1,peter piper pizza,5,1,2
1,peter piper pizza,5,1,3
1,peter piper pizza,5,2,1
1,tortas wash movile,5,2,2
2,applebees,5,1,1
2,applebees,5,1,3
2,applebees,5,2,1
2,applebees,5,2,3
2,cheripan,5,1,3
2,costco,5,1,2
2,costco,5,2,1
2,daruma,5,1,1
2,daruma,5,1,2
2,daruma,5,1,3
2,daruma,5,2,1
2,daruma,5,2,3
2,dominos pizza,5,1,2
2,dominos pizza,5,2,1
2,dominos pizza,5,2,2
2,fonda argentina,5,1,2
2,fonda argentina,5,1,3
2,fonda argentina,5,2,2
2,giuseppis,5,2,2
2,kentucky fried chicken,5,2,2
2,la casa del mole,5,1,1
2,la casa del mole,5,1,2
2,la casa del mole,5,1,3
2,la casa del mole,5,2,2
2,la casa del mole,5,2,3
2,mc donals,5,2,1
2,mc donals,5,2,3
2,peter piper pizza,5,2,1
2,peter piper pizza,5,2,3
2,subway,5,1,2
2,subway,5,2,1
2,super antojitos,5,2,3
2,tortas chapultepec,5,1,2
2,tortas chapultepec,5,2,3
2,villa saverios,5,2,1
2,vips,5,1,2
2,vips,5,1,3
2,vips,5,2,2
2,vips,5,2,3
3,cafe de la flor,4,2,1
3,carls jr,4,1,1
3,costco,3,2,2
3,la torta plaza,5,1,2
3,la espadana,4,2,3
3,subway,4,1,3
2,applebees,5,1,1
2,applebees,5,1,3
2,applebees,5,2,1
2,applebees,5,2,3
2,big boy,5,1,3
2,burger king,5,1,2
2,burger king,5,2,1
2,cafe de la flor,5,1,1
2,cafe de la flor,5,1,2
2,cafe de la flor,5,1,3
2,cafe de la flor,5,2,1
2,cafe de la flor,5,2,3
2,carls jr,5,1,2
2,carls jr,5,2,1
2,carls jr,5,2,2
2,costco,5,1,2
2,costco,5,1,3
2,costco,5,2,2
2,daruma,5,2,2
2,dominos pizza,5,2,2
2,el mazateno,5,1,1
2,el mazateno,5,1,2
2,el mazateno,5,1,3
2,el mazateno,5,2,2
2,el mazateno,5,2,3
2,la lena,5,2,1
2,la lena,5,2,3
2,la espadana,5,2,1
2,la espadana,5,2,3
2,peter piper pizza,5,1,2
2,peter piper pizza,5,2,1
2,californias,5,2,3
2,ricardos,5,1,2
2,ricardos,5,2,3
2,sirloin stockade,5,2,1
2,subway,5,1,2
2,subway,5,1,3
2,subway,5,2,2
2,subway,5,2,3
4,burger king,4,1,1
4,burger king,4,1,2
4,burger king,4,1,3
4,burger king,4,2,1
4,burger king,4,2,2
4,burger king,4,2,3
4,kentucky fried chicken,5,1,1
4,kentucky fried chicken,5,1,2
4,kentucky fried chicken,5,1,3
4,kentucky fried chicken,5,2,1
4,kentucky fried chicken,5,2,2
4,kentucky fried chicken,5,2,3
4,la torta plaza,4,1,1
4,la torta plaza,4,1,2
4,la torta plaza,4,1,3
4,la torta plaza,4,2,1
4,la torta plaza,4,2,2
4,la torta plaza,4,2,3
4,peter piper pizza,5,1,1
4,peter piper pizza,5,1,2
4,peter piper pizza,5,1,3
4,peter piper pizza,5,2,1
4,peter piper pizza,5,2,2
4,peter piper pizza,5,2,3
5,applebees,5,2,1
5,carls jr,5,1,1
5,el mazateno,5,1,2
5,giuseppis,5,2,3
5,la torta plaza,5,1,3
6,applebees,4,1,3
6,applebees,4,2,3
6,burger king,4,1,2
6,carls jr,4,2,2
6,el mazateno,4,1,1
6,el mazateno,4,2,1
6,pampas do brasil,3,1,1
7,carls jr,5,1,2
7,costco,5,2,1
7,daruma,5,1,2
7,la torta plaza,5,1,3
7,mc donals,5,2,3
7,pampas do brasil,5,2,1
7,peter piper pizza,5,2,1
7,californias,5,2,1
8,applebees,5,2,1
8,cafe de la flor,5,2,1
8,carls jr,5,1,1
8,carls jr,5,1,2
8,carls jr,5,1,3
8,carls jr,5,2,2
8,el mazateno,5,2,1
8,el porton,5,2,3
8,kentucky fried chicken,5,2,1
8,pancake house,5,2,1
8,peter piper pizza,5,1,2
8,peter piper pizza,5,2,2
8,ricardos,5,2,1
8,subway,5,1,3
9,applebees,5,1,1
10,burger king,4,1,1
10,burger king,4,1,2
10,burger king,1,1,3
10,burger king,3,2,1
10,burger king,4,2,2
10,burger king,1,2,3
10,carls jr,1,1,1
10,carls jr,4,1,2
10,carls jr,1,1,3
10,carls jr,5,2,1
10,carls jr,5,2,2
10,carls jr,1,2,3
10,costco,3,1,1
10,costco,3,1,2
10,costco,1,1,3
10,costco,3,2,1
10,costco,4,2,2
10,costco,1,2,3
10,dominos pizza,4,1,1
10,dominos pizza,3,1,2
10,dominos pizza,1,1,3
10,dominos pizza,4,2,1
10,dominos pizza,4,2,2
10,dominos pizza,1,2,3
10,kentucky fried chicken,3,1,1
10,kentucky fried chicken,2,1,2
10,kentucky fried chicken,1,1,3
10,kentucky fried chicken,4,2,1
10,kentucky fried chicken,3,2,2
10,kentucky fried chicken,1,2,3
10,mc donals,3,1,1
10,mc donals,3,1,2
10,mc donals,1,1,3
10,mc donals,3,2,1
10,mc donals,3,2,2
10,mc donals,1,2,3
10,peter piper pizza,3,1,1
10,peter piper pizza,2,1,2
10,peter piper pizza,1,1,3
10,peter piper pizza,5,2,1
10,peter piper pizza,4,2,2
10,peter piper pizza,1,2,3
10,subway,4,1,1
